pbIndex,pb1,pb2,market,name,code,country,importance
001002,-0.066656,-0.685725,index,index/DJI.csv,INDEX.DJI,INDEX,10
001005,-0.241239,-0.294636,index,index/IXIC.csv,INDEX.IXIC,INDEX,10
001007,0.082854,-0.018455,index,index/KQ11.csv,INDEX.KQ11,INDEX,10
001008,-0.098130,-0.436603,index,index/KS11.csv,INDEX.KS11,INDEX,10
010000,0.059208,0.513404,kospi,kospi/000020.csv,KR.000020,KOREA,20
010001,0.203033,-0.075755,kospi,kospi/000040.csv,KR.000040,KOREA,20
010002,0.159119,0.061008,kospi,kospi/000050.csv,KR.000050,KOREA,20
010003,0.249363,-0.350078,kospi,kospi/000060.csv,KR.000060,KOREA,20
010004,-0.117745,-0.162364,kospi,kospi/000070.csv,KR.000070,KOREA,20
010005,-0.084268,-0.226680,kospi,kospi/000075.csv,KR.000075,KOREA,20
010006,0.200210,0.243248,kospi,kospi/000080.csv,KR.000080,KOREA,20
010007,-0.081315,-0.053246,kospi,kospi/000087.csv,KR.000087,KOREA,20
010008,0.055250,-0.037718,kospi,kospi/000100.csv,KR.000100,KOREA,20
010009,0.115937,0.199287,kospi,kospi/000105.csv,KR.000105,KOREA,20
010010,0.443337,0.182509,kospi,kospi/000120.csv,KR.000120,KOREA,20
010011,-0.027089,0.352520,kospi,kospi/000140.csv,KR.000140,KOREA,20
010012,-0.061715,-0.165735,kospi,kospi/000145.csv,KR.000145,KOREA,20
010013,0.715073,-0.551030,kospi,kospi/000150.csv,KR.000150,KOREA,20
010014,0.604389,-0.764871,kospi,kospi/000155.csv,KR.000155,KOREA,20
010015,-1.173186,-0.383517,kospi,kospi/000157.csv,KR.000157,KOREA,20
010016,0.066208,-0.077755,kospi,kospi/000180.csv,KR.000180,KOREA,20
010017,0.264509,0.008222,kospi,kospi/000210.csv,KR.000210,KOREA,20
010018,0.066318,-0.420584,kospi,kospi/000215.csv,KR.000215,KOREA,20
010019,0.074062,0.107428,kospi,kospi/000220.csv,KR.000220,KOREA,20
010020,-0.512951,0.045829,kospi,kospi/000225.csv,KR.000225,KOREA,20
010021,-0.619480,-0.009281,kospi,kospi/000227.csv,KR.000227,KOREA,20
010022,0.142267,-0.148413,kospi,kospi/000230.csv,KR.000230,KOREA,20
010023,-0.532102,-0.512694,kospi,kospi/000240.csv,KR.000240,KOREA,20
010024,-0.631269,-0.349268,kospi,kospi/000270.csv,KR.000270,KOREA,20
010025,0.323778,-0.269634,kospi,kospi/000300.csv,KR.000300,KOREA,20
010026,0.220114,-0.266960,kospi,kospi/000320.csv,KR.000320,KOREA,20
010027,0.115593,-0.561252,kospi,kospi/000325.csv,KR.000325,KOREA,20
010028,-0.015328,-0.252967,kospi,kospi/000370.csv,KR.000370,KOREA,20
010029,0.539272,0.140717,kospi,kospi/000390.csv,KR.000390,KOREA,20
010030,0.118334,-0.179154,kospi,kospi/000400.csv,KR.000400,KOREA,20
010031,-0.000764,-0.854390,kospi,kospi/000430.csv,KR.000430,KOREA,20
010032,0.609721,-0.009531,kospi,kospi/000480.csv,KR.000480,KOREA,20
010033,-0.082170,-0.014553,kospi,kospi/000490.csv,KR.000490,KOREA,20
010034,0.020997,-0.881093,kospi,kospi/000500.csv,KR.000500,KOREA,20
010035,0.092580,-0.067713,kospi,kospi/000520.csv,KR.000520,KOREA,20
010036,0.270575,-0.402075,kospi,kospi/000540.csv,KR.000540,KOREA,20
010037,0.988517,-0.562958,kospi,kospi/000545.csv,KR.000545,KOREA,20
010038,0.436310,0.229933,kospi,kospi/000547.csv,KR.000547,KOREA,20
010039,0.074986,-0.447169,kospi,kospi/000590.csv,KR.000590,KOREA,20
010040,0.028947,-0.431508,kospi,kospi/000640.csv,KR.000640,KOREA,20
010041,0.020930,-0.692423,kospi,kospi/000650.csv,KR.000650,KOREA,20
