Date,USD/KRW,USD Index,Dollar Gap
2021-05-24,1123.48,89.84,7.9965820486345995
2021-05-25,1122.36,89.64,7.9867422217470345
2021-05-26,1116.61,90.04,8.063692784409957
2021-05-27,1118.55,89.97,8.043449108220464
2021-05-28,1113.08,90.03,8.088367412944264
2021-05-31,1106.58,90.03,8.1358781109364
2021-06-01,1108.38,89.83,8.104621158808351
2021-06-02,1110.92,89.91,8.093292046231952
2021-06-03,1116.46,90.51,8.106873510918438
2021-06-04,1110.52,90.14,8.116918200482658
2021-06-07,1110.62,89.95,8.099079793268626
2021-06-08,1117.72,90.08,8.059263500697849
2021-06-09,1115.61,90.12,8.078091806276388
2021-06-10,1112.32,90.07,8.09748993095512
2021-06-11,1116.4,90.56,8.111787889645287
2021-06-14,1116.33,90.52,8.108713373285676
2021-06-15,1117.09,90.54,8.104987064605359
2021-06-16,1132.68,91.13,8.04552035879507
2021-06-17,1134.3,91.89,8.101031473155249
2021-06-18,1134.94,92.22,8.125539676106225
2021-06-21,1131.4,91.9,8.122679865653174
2021-06-22,1133.57,91.76,8.094780207662518
2021-06-23,1135.85,91.8,8.082053087995774
2021-06-24,1130.78,91.81,8.119174375210033
2021-06-25,1127.12,91.85,8.149087940946838
2021-06-28,1130.04,91.89,8.131570563873845
2021-06-29,1131.62,92.05,8.134356055919833
2021-06-30,1130.48,92.44,8.17705753308329
2021-07-01,1134.33,92.6,8.16340923717084
2021-07-02,1130.53,92.23,8.15812052754018
2021-07-05,1130.42,92.21,8.157145131897877
2021-07-06,1136.75,92.55,8.141631845172641
2021-07-07,1141.5,92.64,8.115637319316688
2021-07-08,1146.59,92.42,8.060422644537281
2021-07-09,1143.73,92.13,8.0552228235685
2021-07-12,1146.85,92.26,8.044644024937874
2021-07-13,1149.94,92.75,8.06563820721081
2021-07-14,1144.22,92.41,8.076244078935868
2021-07-15,1141.59,92.62,8.113245561015777
2021-07-16,1141.51,92.69,8.119946386803445
2021-07-19,1150.83,92.89,8.071565739509746
2021-07-20,1147.47,92.97,8.10217260581976
2021-07-21,1149.31,92.75,8.070059426960524
2021-07-22,1150.55,92.82,8.067446004085003
2021-07-23,1151.52,92.91,8.068466027511462
2021-07-26,1152.54,92.65,8.038766550401723
2021-07-27,1154.25,92.43,8.007797270955166
